testName,dateUtc,mode,degreesOfSeparation,vus,iterations,checksPassed,durationAvg,requestsFailed,endpoint
endpoint-bands-degreesOfSeparation-3-mode-sync,"Tue, 25 Apr 2023 00:49:53 GMT",,3,1,10,100.00%,3.34s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-sync,"Tue, 25 Apr 2023 00:49:53 GMT",,5,1,5,86.66%,7.38s,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-mutex,"Tue, 25 Apr 2023 00:49:53 GMT",mutex,1,2,5,100.00%,2.25s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-mutex,"Tue, 25 Apr 2023 00:49:53 GMT",mutex,3,1,10,100.00%,3.75s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-mutex,"Tue, 25 Apr 2023 00:49:53 GMT",mutex,5,1,5,100.00%,8.1s,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-sync,"Tue, 25 Apr 2023 00:51:50 GMT",,1,2,5,100.00%,1.74s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-sync,"Tue, 25 Apr 2023 00:51:50 GMT",,3,1,10,100.00%,3.36s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-sync,"Tue, 25 Apr 2023 00:51:50 GMT",,5,1,5,100.00%,7.67s,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-mutex,"Tue, 25 Apr 2023 00:51:50 GMT",mutex,1,2,5,100.00%,1.45s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-mutex,"Tue, 25 Apr 2023 00:51:50 GMT",mutex,3,1,10,100.00%,3.09s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-mutex,"Tue, 25 Apr 2023 00:51:50 GMT",mutex,5,1,5,100.00%,7.65s,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-sync,"Wed, 26 Apr 2023 00:41:37 GMT",sync,1,2,5,100.00%,2.17s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-sync,"Wed, 26 Apr 2023 00:41:37 GMT",sync,3,1,10,100.00%,3.22s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-sync,"Wed, 26 Apr 2023 00:41:37 GMT",sync,5,1,5,100.00%,6.48s,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-mutex,"Wed, 26 Apr 2023 00:41:37 GMT",mutex,1,2,5,100.00%,2.26s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-mutex,"Wed, 26 Apr 2023 00:41:37 GMT",mutex,3,1,10,100.00%,3.27s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-mutex,"Wed, 26 Apr 2023 00:41:37 GMT",mutex,5,1,5,100.00%,7.18s,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-sync,"Fri, 28 Apr 2023 00:49:52 GMT",sync,1,2,5,100.00%,2.38s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-sync,"Fri, 28 Apr 2023 00:49:52 GMT",sync,3,1,10,100.00%,3.39s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-sync,"Fri, 28 Apr 2023 00:49:52 GMT",sync,5,1,5,100.00%,7.4s,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-mutex,"Fri, 28 Apr 2023 00:49:52 GMT",mutex,1,2,5,100.00%,2.28s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-mutex,"Fri, 28 Apr 2023 00:49:52 GMT",mutex,3,1,10,100.00%,3.55s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-mutex,"Fri, 28 Apr 2023 00:49:52 GMT",mutex,5,1,5,100.00%,8.18s,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-insync,"Fri, 28 Apr 2023 00:49:52 GMT",insync,1,2,5,100.00%,6.41s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-insync,"Fri, 28 Apr 2023 00:49:52 GMT",insync,3,1,10,100.00%,7.46s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-insync,"Fri, 28 Apr 2023 00:49:52 GMT",insync,5,1,5,85.71%,50.6s,20.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-sync,"Fri, 28 Apr 2023 21:08:46 GMT",sync,1,2,5,100.00%,1.28s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-sync,"Fri, 28 Apr 2023 21:08:46 GMT",sync,3,1,10,100.00%,2.04s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-sync,"Fri, 28 Apr 2023 21:08:46 GMT",sync,5,1,5,100.00%,4.92s,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-mutex,"Fri, 28 Apr 2023 21:08:46 GMT",mutex,,2,5,100.00%,1.46s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-mutex,"Fri, 28 Apr 2023 21:08:46 GMT",mutex,3,1,10,100.00%,2.26s,0.00%,bands
endpoint-bands-degreesOfSeparation-5-mode-mutex,"Fri, 28 Apr 2023 21:08:46 GMT",mutex,5,1,5,100.00%,4.91s,0.00%,bands
endpoint-genres-degreesOfSeparation-1-mode-mutex,"Sat, 06 May 2023 14:13:45 GMT",mutex,1,1,1,100.00%,1.2s,0.00%,genres
endpoint-genres-degreesOfSeparation-1-mode-sync,"Sat, 06 May 2023 14:13:45 GMT",sync,1,1,1,100.00%,2.18s,0.00%,genres
endpoint-genres-degreesOfSeparation-1-mode-insync,"Sat, 06 May 2023 14:13:45 GMT",insync,1,1,1,100.00%,3.75s,0.00%,genres
endpoint-bands-degreesOfSeparation-1-mode-sync,"Sat, 06 May 2023 14:13:45 GMT",sync,1,2,5,100.00%,836.14ms,0.00%,bands
endpoint-bands-degreesOfSeparation-1-mode-mutex,"Sat, 06 May 2023 14:13:45 GMT",mutex,1,2,5,100.00%,835.05ms,0.00%,bands
endpoint-genres-degreesOfSeparation-2-mode-sync,"Sat, 06 May 2023 14:13:45 GMT",sync,2,1,3,77.77%,2.7s,0.00%,genres
endpoint-genres-degreesOfSeparation-2-mode-mutex,"Sat, 06 May 2023 14:13:45 GMT",mutex,2,1,3,66.66%,2.71s,0.00%,genres
endpoint-bands-degreesOfSeparation-1-mode-insync,"Sat, 06 May 2023 14:13:45 GMT",insync,1,2,5,100.00%,2.81s,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-sync,"Sat, 06 May 2023 14:13:45 GMT",sync,3,1,10,100.00%,907.48ms,0.00%,bands
endpoint-bands-degreesOfSeparation-3-mode-mutex,"Sat, 06 May 2023 14:13:45 GMT",mutex,3,1,10,100.00%,925ms,0.00%,bands
endpoint-genres-degreesOfSeparation-2-mode-insync,"Sat, 06 May 2023 14:13:45 GMT",insync,2,1,3,100.00%,15.8s,0.00%,genres
endpoint-bands-degreesOfSeparation-3-mode-insync,"Sat, 06 May 2023 14:13:45 GMT",insync,3,1,10,100.00%,4.27s,0.00%,bands
